Phi,Theta,FILE
-2.50448e-06,225,16936400553265217003.h5
45,225,13860639378886969605.h5
45,45,15444972765800244849.h5
45,315,3041179497113033835.h5
-2.50448e-06,8.65142e-06,3476169252725474612.h5
-2.50448e-06,315,2671243697669007914.h5
-45,315,9110410688355292293.h5
-2.50448e-06,45,1262667550037603143.h5
-45,45,18268208570458854581.h5
-45,225,1602095616880049068.h5
-45,8.65142e-06,1434656975387235278.h5
45,90,6556872585363881626.h5
-2.50448e-06,90,3495860812281588960.h5
-2.50448e-06,270,2504957640066042253.h5
45,135,11397955758386695259.h5
-45,135,16734100729885645237.h5
-45,180,5794635227896090345.h5
-2.50448e-06,180,4441590259820893467.h5
-45,270,13229498178711079161.h5
45,8.65142e-06,10689762063787432192.h5
-2.50448e-06,135,3015898330082310833.h5
-45,90,8019416305021002608.h5
45,180,3509758559739959007.h5
45,270,11668805100066506018.h5
